annual_return,annual_volatility,sharpe_ratio
0.1743881949516317,0.19736898441687814,0.7822312883038227
0.09219766895221627,0.15453790416955562,0.46718421179701364
0.10503421802766895,0.2261672652445135,0.37597933518688886
0.12673284985809402,0.20481807285345988,0.5211105073450115
0.17276106611863742,0.16713494998555298,0.9139983356673275
0.10451187104507018,0.1502668796867834,0.5624118316772592
0.14700120583819107,0.18776579775713897,0.6763809349477887
0.18502934999601173,0.20533963321645218,0.8036897086596592
0.11613916041698745,0.22842213405894168,0.42088373271295965
0.11775486427899258,0.12400657475698035,0.7883038820366252
0.16598387267026796,0.20775192326293643,0.702683616004396
0.10546190977721027,0.1377258328383737,0.6205220038676619
0.14150838121738246,0.17224808206466036,0.7054266135269321
0.1526579694905686,0.18947375033831926,0.7001390390684624
0.13114193498482127,0.17458350933539793,0.6366118736409575
0.1542604361879867,0.16138764155356045,0.8319127468222473
0.10464051887204084,0.1390160980646334,0.608854082731401
0.1309022775432705,0.13544527705591028,0.8187976720479614
0.12448435759178816,0.14302623147647212,0.7305258379053068
0.14520872574170254,0.24437239389991694,0.5123685361652673
0.16915266666511822,0.1788824741969489,0.8338025697302338
0.08799065527111485,0.2330128728382422,0.2917892665883487
0.11842818829740029,0.14729351876049035,0.6682452094681196
0.16756810874392286,0.20657449435376316,0.7143578359253268
0.05828628965696363,0.12221934209913378,0.31325884266263754
0.17851478730620143,0.20855829997674555,0.760050246496428
0.05043173505578786,0.12128737739674501,0.2509060358048813
0.09791719309646027,0.16832221849785392,0.46290497946029446
0.16827272541667296,0.1512749859588095,0.980153622073685
0.08778826441926539,0.20517757786971022,0.3303882671931706
0.1930532391905063,0.26361941266616334,0.656451045999612
0.11328645503363229,0.16272623243490575,0.5732723829327826
0.1741955375750972,0.15127475101509433,1.0193078259286736
0.18300078659805125,0.1992574458357529,0.8180411322365948
0.18287880477034318,0.16232401676351954,1.0034177814095857
0.0968717154801352,0.1644919337226534,0.46732817677094785
0.14229683419391187,0.1478544652166182,0.8271433264780848
0.2242360441695201,0.26510725289065135,0.7703902550480625
0.1158571658567675,0.1721564900050971,0.5568025106339552
0.16838433840031894,0.18938134727892728,0.78352140024526
0.1489562038920242,0.167693532976124,0.7689992667182035
0.15279737990316647,0.16837845873736118,0.7886839023173712
0.09625563570315013,0.14885133028403583,0.5122939483150086
0.11354299025105831,0.12646126800731905,0.7396967603206732
0.1384476475883885,0.19935560553549433,0.5941525811136494
0.18728257811834786,0.1801529797227853,0.9285584861030772
